node,destination,asn,iana_6top_cmd,requested_cell,experiment_id,time
m3-338,m3-346,0x0000006a7e,1,1,41,2018-05-17 10:31:35.952523
m3-309,m3-302,0x0000006b2e,6,0,41,2018-05-17 10:31:38.463112
m3-305,m3-314,0x0000006b2e,1,1,41,2018-05-17 10:31:38.464809
m3-314,m3-338,0x0000006b37,1,3,41,2018-05-17 10:31:38.578074
m3-298,m3-314,0x0000006bf5,1,3,41,2018-05-17 10:31:41.47094
m3-302,m3-309,0x0000006bf5,1,3,41,2018-05-17 10:31:41.474504
m3-309,m3-302,0x0000006bf5,6,0,41,2018-05-17 10:31:41.499488
m3-299,m3-317,0x0000006d22,6,0,41,2018-05-17 10:31:45.97136
m3-302,m3-309,0x0000006d83,1,3,41,2018-05-17 10:31:47.394617
m3-346,m3-358,0x0000006d99,2,2,41,2018-05-17 10:31:47.732723
m3-310,m3-298,0x0000006ddd,6,0,41,2018-05-17 10:31:48.736291
m3-314,m3-338,0x0000006e53,1,3,41,2018-05-17 10:31:50.529967
m3-330,m3-346,0x0000006e5c,1,1,41,2018-05-17 10:31:50.652646
m3-298,m3-314,0x0000006f11,1,3,41,2018-05-17 10:31:53.404772
m3-302,m3-309,0x0000006f11,1,3,41,2018-05-17 10:31:53.410224
m3-309,m3-302,0x0000006f11,6,0,41,2018-05-17 10:31:53.421648
m3-330,m3-346,0x0000006f23,1,1,41,2018-05-17 10:31:53.627797
m3-325,m3-338,0x0000006f43,6,0,41,2018-05-17 10:31:54.103308
m3-298,m3-314,0x0000006fd8,1,3,41,2018-05-17 10:31:56.349389
m3-313,m3-318,0x000000708b,6,0,41,2018-05-17 10:31:59.129017
m3-346,m3-358,0x00000070b5,6,0,41,2018-05-17 10:31:59.894126
m3-313,m3-338,0x0000007166,1,1,41,2018-05-17 10:32:02.300686
m3-306,m3-310,0x0000007166,1,1,41,2018-05-17 10:32:02.30476
m3-309,m3-302,0x000000722d,6,0,41,2018-05-17 10:32:05.30625
m3-302,m3-309,0x000000722d,1,3,41,2018-05-17 10:32:05.313063
m3-305,m3-314,0x000000722d,1,1,41,2018-05-17 10:32:05.321512
m3-329,m3-338,0x0000007242,1,3,41,2018-05-17 10:32:05.60189
m3-346,m3-358,0x0000007243,1,3,41,2018-05-17 10:32:05.626126
m3-313,m3-338,0x00000072f4,1,1,41,2018-05-17 10:32:08.286308
m3-298,m3-314,0x00000072f4,1,3,41,2018-05-17 10:32:08.298868
m3-329,m3-338,0x0000007309,1,1,41,2018-05-17 10:32:08.619209
m3-346,m3-358,0x000000730a,1,3,41,2018-05-17 10:32:08.633017
m3-338,m3-346,0x000000730b,1,3,41,2018-05-17 10:32:08.768298
m3-305,m3-314,0x00000073bb,1,1,41,2018-05-17 10:32:11.262744
m3-346,m3-358,0x00000073d1,1,3,41,2018-05-17 10:32:11.567507
m3-298,m3-314,0x0000007482,1,3,41,2018-05-17 10:32:14.224571
m3-299,m3-317,0x000000748b,6,0,41,2018-05-17 10:32:14.358472
m3-329,m3-338,0x0000007497,1,1,41,2018-05-17 10:32:14.540167
m3-298,m3-314,0x0000007549,1,3,41,2018-05-17 10:32:17.217883
m3-309,m3-302,0x0000007549,6,0,41,2018-05-17 10:32:17.222225
m3-314,m3-338,0x0000007552,1,3,41,2018-05-17 10:32:17.340033
m3-310,m3-298,0x0000007554,6,0,41,2018-05-17 10:32:17.374154
m3-306,m3-310,0x0000007610,1,1,41,2018-05-17 10:32:20.195685
m3-314,m3-338,0x0000007619,1,3,41,2018-05-17 10:32:20.323959
m3-325,m3-338,0x00000076d2,6,0,41,2018-05-17 10:32:23.096552
m3-309,m3-302,0x00000076d7,6,0,41,2018-05-17 10:32:23.181761
m3-302,m3-309,0x00000076d7,1,3,41,2018-05-17 10:32:23.182585
m3-302,m3-309,0x000000779e,1,3,41,2018-05-17 10:32:26.162238
m3-298,m3-314,0x000000779e,1,3,41,2018-05-17 10:32:26.162726
m3-298,m3-314,0x0000007865,1,3,41,2018-05-17 10:32:29.137689
m3-346,m3-358,0x000000787b,1,3,41,2018-05-17 10:32:29.473972
m3-346,m3-358,0x0000007942,1,3,41,2018-05-17 10:32:32.438791
m3-338,m3-346,0x0000007943,1,3,41,2018-05-17 10:32:32.631402
m3-302,m3-309,0x00000079f3,1,3,41,2018-05-17 10:32:35.105895
m3-309,m3-302,0x0000007aba,6,0,41,2018-05-17 10:32:38.132592
m3-306,m3-310,0x0000007aba,1,1,41,2018-05-17 10:32:38.139265
m3-298,m3-314,0x0000007aba,1,3,41,2018-05-17 10:32:38.149342
m3-346,m3-358,0x0000007ad0,1,3,41,2018-05-17 10:32:38.408079
m3-313,m3-338,0x0000007b81,1,1,41,2018-05-17 10:32:41.08189
m3-302,m3-309,0x0000007b81,1,3,41,2018-05-17 10:32:41.093622
m3-346,m3-358,0x0000007b97,6,0,41,2018-05-17 10:32:41.386623
m3-299,m3-317,0x0000007bf3,6,0,41,2018-05-17 10:32:42.780372
m3-309,m3-302,0x0000007c48,6,0,41,2018-05-17 10:32:44.055752
m3-346,m3-358,0x0000007c5e,1,3,41,2018-05-17 10:32:44.372971
m3-310,m3-298,0x0000007cca,6,0,41,2018-05-17 10:32:45.988964
m3-298,m3-302,0x0000007ccd,6,0,41,2018-05-17 10:32:46.032467
m3-313,m3-338,0x0000007d0f,1,1,41,2018-05-17 10:32:47.040315
m3-314,m3-338,0x0000007ddf,1,3,41,2018-05-17 10:32:50.144316
m3-346,m3-358,0x0000007dec,1,3,41,2018-05-17 10:32:50.335415
m3-306,m3-309,0x0000007ec3,6,0,41,2018-05-17 10:32:53.554012
m3-298,m3-314,0x0000007f64,1,3,41,2018-05-17 10:32:55.982675
m3-302,m3-309,0x0000007f64,1,3,41,2018-05-17 10:32:55.98399
m3-338,m3-346,0x0000008042,1,3,41,2018-05-17 10:32:59.382764
m3-302,m3-309,0x0000008043,1,1,41,2018-05-17 10:32:59.438984
m3-309,m3-302,0x00000081ba,6,0,41,2018-05-17 10:33:04.932188
m3-302,m3-309,0x00000081bd,2,2,41,2018-05-17 10:33:04.975449
m3-346,m3-358,0x00000081cf,1,3,41,2018-05-17 10:33:05.24276
m3-298,m3-314,0x0000008347,1,3,41,2018-05-17 10:33:10.891957
m3-314,m3-338,0x0000008350,1,3,41,2018-05-17 10:33:11.015194
m3-310,m3-322,0x000000840e,1,1,41,2018-05-17 10:33:13.864762
m3-302,m3-309,0x000000840f,6,0,41,2018-05-17 10:33:13.892531
m3-309,m3-302,0x000000840f,6,0,41,2018-05-17 10:33:13.896186
m3-298,m3-314,0x00000084d5,1,3,41,2018-05-17 10:33:16.869329
m3-338,m3-346,0x000000867a,1,3,41,2018-05-17 10:33:23.166348
m3-298,m3-314,0x000000872a,1,3,41,2018-05-17 10:33:25.795043
m3-302,m3-309,0x000000872b,6,0,41,2018-05-17 10:33:25.812324
m3-338,m3-346,0x0000008741,1,2,41,2018-05-17 10:33:26.197796
m3-302,m3-309,0x00000087e7,1,1,41,2018-05-17 10:33:28.653693
m3-298,m3-314,0x000000897f,6,0,41,2018-05-17 10:33:34.733682
m3-309,m3-302,0x0000008a46,6,0,41,2018-05-17 10:33:37.71706
