node,new_parent,asn,time
m3-220,m3-209,0x000004c121,2018-02-20 11:33:56.663806
m3-248,m3-264,0x000004c21a,2018-02-20 11:34:00.368989
m3-248,m3-249,0x000004c21b,2018-02-20 11:34:00.46118
m3-237,m3-216,0x000004c2c8,2018-02-20 11:34:02.984769
m3-264,m3-260,0x000004c487,2018-02-20 11:34:09.702964
m3-233,m3-228,0x000004c692,2018-02-20 11:34:17.472607
m3-248,m3-241,0x000004c9c4,2018-02-20 11:34:29.865933
m3-216,m3-209,0x000004ca11,2018-02-20 11:34:30.938225
m3-224,m3-216,0x000004ca8e,2018-02-20 11:34:32.841505
m3-245,m3-224,0x000004cb6d,2018-02-20 11:34:36.175973
m3-232,m3-228,0x000004cb8b,2018-02-20 11:34:36.569728
m3-240,m3-225,0x000004cdab,2018-02-20 11:34:44.747525
m3-212,m3-228,0x000004d062,2018-02-20 11:34:55.114883
m3-256,m3-224,0x000004d637,2018-02-20 11:35:17.818885
m3-245,m3-228,0x000004d6bd,2018-02-20 11:35:19.48679
m3-260,m3-244,0x000004d908,2018-02-20 11:35:28.421635
m3-248,m3-256,0x000004db5d,2018-02-20 11:35:37.189179
m3-237,m3-225,0x000004dcb3,2018-02-20 11:35:42.31065
m3-264,m3-244,0x000004dfbc,2018-02-20 11:35:54.032639
m3-240,m3-244,0x000004e2d0,2018-02-20 11:36:05.762638
m3-245,m3-244,0x000004e5a9,2018-02-20 11:36:16.727922
m3-245,m3-236,0x000004e5a9,2018-02-20 11:36:16.805565
m3-245,m3-241,0x000004e5a9,2018-02-20 11:36:16.884121
m3-248,m3-228,0x000004f121,2018-02-20 11:37:00.811925
m3-257,m3-260,0x000004f504,2018-02-20 11:37:15.722216
m3-216,m3-217,0x000004f599,2018-02-20 11:37:17.901236
m3-256,m3-244,0x000004f7ac,2018-02-20 11:37:25.838646
m3-212,m3-207,0x000004fb87,2018-02-20 11:37:40.695844
m3-249,m3-228,0x000004fbd1,2018-02-20 11:37:41.770504
m3-216,m3-220,0x000004fd78,2018-02-20 11:37:48.110553
m3-265,m3-260,0x000004fda8,2018-02-20 11:37:48.835452
m3-256,m3-253,0x000004ff11,2018-02-20 11:37:54.358514
m3-256,m3-264,0x000004ff11,2018-02-20 11:37:54.447665
m3-256,m3-265,0x000004ff11,2018-02-20 11:37:54.515501
m3-249,m3-236,0x000004ff6c,2018-02-20 11:37:55.505998
m3-248,m3-244,0x000004ff64,2018-02-20 11:37:55.537939
m3-244,m3-220,0x000005018d,2018-02-20 11:38:03.762158
m3-228,m3-217,0x0000050209,2018-02-20 11:38:05.621033
m3-256,m3-245,0x0000050286,2018-02-20 11:38:07.439013
m3-265,m3-264,0x000005052c,2018-02-20 11:38:17.609454
m3-265,m3-261,0x000005052d,2018-02-20 11:38:17.685513
m3-264,m3-212,0x00000506e5,2018-02-20 11:38:24.250767
m3-216,m3-209,0x0000050e79,2018-02-20 11:38:53.329453
m3-252,m3-236,0x0000050ec4,2018-02-20 11:38:54.438035
m3-265,m3-257,0x0000051435,2018-02-20 11:39:15.259609
m3-253,m3-252,0x00000515df,2018-02-20 11:39:21.622934
m3-249,m3-240,0x0000051667,2018-02-20 11:39:23.683262
m3-249,m3-244,0x0000051668,2018-02-20 11:39:23.76673
m3-240,m3-236,0x000005169f,2018-02-20 11:39:24.490689
m3-232,m3-217,0x000005187b,2018-02-20 11:39:31.707074
m3-241,m3-229,0x00000519d8,2018-02-20 11:39:36.964586
m3-264,m3-232,0x0000051ad3,2018-02-20 11:39:40.785641
m3-241,m3-236,0x0000051d12,2018-02-20 11:39:49.443459
m3-261,m3-257,0x0000051e09,2018-02-20 11:39:53.024614
m3-228,m3-220,0x0000051e03,2018-02-20 11:39:53.056257
m3-240,m3-212,0x0000051e05,2018-02-20 11:39:53.070066
m3-228,m3-225,0x0000051e04,2018-02-20 11:39:53.125807
m3-264,m3-245,0x0000052261,2018-02-20 11:40:09.598253
m3-213,m3-207,0x00000523da,2018-02-20 11:40:15.327537
m3-256,m3-232,0x0000052409,2018-02-20 11:40:16.098194
m3-241,m3-233,0x0000052498,2018-02-20 11:40:18.228291
m3-249,m3-248,0x00000525ba,2018-02-20 11:40:22.518871
m3-261,m3-256,0x00000525b2,2018-02-20 11:40:22.524519
m3-240,m3-237,0x0000052679,2018-02-20 11:40:25.317612
m3-257,m3-252,0x0000052759,2018-02-20 11:40:28.804379
m3-245,m3-237,0x0000052884,2018-02-20 11:40:33.250626
m3-261,m3-264,0x00000529f9,2018-02-20 11:40:38.741951
m3-256,m3-244,0x0000052b6d,2018-02-20 11:40:44.349927
m3-241,m3-232,0x0000052c1e,2018-02-20 11:40:46.991566
m3-241,m3-249,0x0000052c1e,2018-02-20 11:40:47.106259
m3-241,m3-252,0x0000052c1e,2018-02-20 11:40:47.206681
m3-241,m3-245,0x0000052c1e,2018-02-20 11:40:47.278327
m3-256,m3-224,0x0000052cb1,2018-02-20 11:40:49.18953
m3-233,m3-212,0x0000052cb1,2018-02-20 11:40:49.262114
m3-260,m3-237,0x0000052df9,2018-02-20 11:40:54.157187
m3-264,m3-212,0x00000530df,2018-02-20 11:41:05.260938
m3-248,m3-237,0x0000053505,2018-02-20 11:41:21.292423
m3-260,m3-264,0x000005358d,2018-02-20 11:41:23.136272
m3-224,m3-209,0x00000538a1,2018-02-20 11:41:35.1548
m3-224,m3-217,0x00000538a2,2018-02-20 11:41:35.255949
m3-237,m3-216,0x0000053b45,2018-02-20 11:41:45.21087
m3-248,m3-253,0x0000053cae,2018-02-20 11:41:50.496843
m3-244,m3-212,0x0000053e7b,2018-02-20 11:41:57.5578
m3-244,m3-232,0x0000053e7b,2018-02-20 11:41:57.685433
m3-224,m3-212,0x0000054045,2018-02-20 11:42:04.400196
m3-256,m3-264,0x000005419c,2018-02-20 11:42:09.459042
m3-249,m3-236,0x00000542c0,2018-02-20 11:42:13.803289
m3-241,m3-236,0x00000542c0,2018-02-20 11:42:13.869472
m3-237,m3-236,0x0000054435,2018-02-20 11:42:19.473109
m3-244,m3-224,0x0000054611,2018-02-20 11:42:26.750137
m3-244,m3-228,0x0000054611,2018-02-20 11:42:26.871716
m3-233,m3-220,0x0000054952,2018-02-20 11:42:39.155463
m3-244,m3-253,0x0000054f49,2018-02-20 11:43:01.870367
m3-264,m3-245,0x0000054fb4,2018-02-20 11:43:03.701008
m3-240,m3-212,0x0000054fde,2018-02-20 11:43:04.159023
m3-233,m3-236,0x00000550f8,2018-02-20 11:43:08.427991
m3-232,m3-212,0x000005531a,2018-02-20 11:43:16.563084
m3-232,m3-216,0x000005531a,2018-02-20 11:43:16.639142
m3-260,m3-228,0x0000055456,2018-02-20 11:43:21.350283
m3-236,m3-212,0x000005586b,2018-02-20 11:43:36.957568
