node,destination,asn,iana_6top_cmd,requested_cell,time
m3-249,m3-232,0x00000080f2,1,2,2018-02-13 11:41:37.840896
m3-236,m3-212,0x00000080fd,1,3,2018-02-13 11:41:37.978621
m3-224,m3-220,0x00000080fe,6,0,2018-02-13 11:41:38.007447
m3-240,m3-212,0x00000081b9,1,1,2018-02-13 11:41:40.817724
m3-240,m3-212,0x0000008347,1,1,2018-02-13 11:41:46.760756
m3-220,m3-207,0x00000083b8,6,0,2018-02-13 11:41:48.455994
m3-249,m3-232,0x000000840e,1,2,2018-02-13 11:41:49.742879
m3-236,m3-212,0x0000008419,1,3,2018-02-13 11:41:49.909097
m3-216,m3-236,0x0000008510,6,0,2018-02-13 11:41:53.604029
m3-220,m3-236,0x000000859c,1,3,2018-02-13 11:41:55.719415
m3-217,m3-220,0x000000861c,6,0,2018-02-13 11:41:57.625846
m3-241,m3-220,0x0000008650,6,0,2018-02-13 11:41:58.404411
m3-232,m3-236,0x0000008675,6,0,2018-02-13 11:41:58.954305
m3-249,m3-232,0x000000872a,1,2,2018-02-13 11:42:01.669904
m3-236,m3-212,0x0000008735,1,3,2018-02-13 11:42:01.8336
m3-240,m3-212,0x00000087f1,1,1,2018-02-13 11:42:04.654863
m3-236,m3-212,0x00000088c3,1,3,2018-02-13 11:42:07.802035
m3-249,m3-232,0x000000897f,1,2,2018-02-13 11:42:10.635135
m3-240,m3-212,0x000000897f,1,1,2018-02-13 11:42:10.642976
m3-244,m3-228,0x0000008a46,1,1,2018-02-13 11:42:13.598173
m3-248,m3-228,0x0000008a46,1,1,2018-02-13 11:42:13.604317
m3-220,m3-207,0x0000008b1c,6,0,2018-02-13 11:42:16.804838
m3-248,m3-228,0x0000008bd4,1,1,2018-02-13 11:42:19.573696
m3-244,m3-228,0x0000008bd4,1,1,2018-02-13 11:42:19.585761
m3-249,m3-232,0x0000008c9b,1,2,2018-02-13 11:42:22.544815
m3-217,m3-220,0x0000008da2,6,0,2018-02-13 11:42:26.481753
m3-241,m3-220,0x0000008dd6,6,0,2018-02-13 11:42:27.262707
m3-232,m3-236,0x0000008dfd,6,0,2018-02-13 11:42:27.844623
m3-248,m3-228,0x0000008e29,1,1,2018-02-13 11:42:28.512189
m3-220,m3-236,0x0000008e2b,2,2,2018-02-13 11:42:28.53547
m3-228,m3-212,0x0000008e3a,1,1,2018-02-13 11:42:28.760615
m3-249,m3-232,0x0000008ef0,1,2,2018-02-13 11:42:31.490679
m3-232,m3-213,0x0000008fb7,1,2,2018-02-13 11:42:34.470402
m3-220,m3-236,0x000000907e,1,1,2018-02-13 11:42:37.476843
m3-213,m3-207,0x000000907e,1,2,2018-02-13 11:42:37.485332
m3-248,m3-228,0x000000907e,1,1,2018-02-13 11:42:37.500444
m3-249,m3-232,0x0000009145,1,2,2018-02-13 11:42:40.454551
m3-240,m3-212,0x0000009145,1,1,2018-02-13 11:42:40.460878
m3-236,m3-212,0x0000009150,1,3,2018-02-13 11:42:40.597729
m3-248,m3-228,0x000000920c,1,1,2018-02-13 11:42:43.415112
m3-249,m3-232,0x00000092d3,1,2,2018-02-13 11:42:46.397801
m3-237,m3-236,0x00000092e1,2,2,2018-02-13 11:42:46.601022
m3-212,m3-207,0x00000093ae,1,2,2018-02-13 11:42:49.747475
m3-216,m3-236,0x00000093fd,6,0,2018-02-13 11:42:51.031723
m3-237,m3-236,0x0000009461,1,1,2018-02-13 11:42:52.37099
m3-252,m3-228,0x0000009461,1,1,2018-02-13 11:42:52.372292
m3-216,m3-208,0x0000009528,1,1,2018-02-13 11:42:55.340221
m3-249,m3-232,0x0000009528,1,2,2018-02-13 11:42:55.360277
m3-241,m3-228,0x00000095ef,1,1,2018-02-13 11:42:58.327925
m3-208,m3-207,0x00000096b6,1,1,2018-02-13 11:43:01.305022
m3-241,m3-228,0x000000977d,1,1,2018-02-13 11:43:04.341105
m3-249,m3-232,0x000000977d,1,2,2018-02-13 11:43:04.347584
m3-237,m3-236,0x000000977d,1,1,2018-02-13 11:43:04.352632
m3-236,m3-212,0x000000977d,1,3,2018-02-13 11:43:04.356869
m3-236,m3-212,0x000000990b,1,3,2018-02-13 11:43:10.258743
m3-249,m3-232,0x000000990b,1,2,2018-02-13 11:43:10.264278
m3-233,m3-212,0x0000009a99,1,1,2018-02-13 11:43:16.214196
m3-228,m3-212,0x0000009aaa,1,1,2018-02-13 11:43:16.497851
m3-233,m3-212,0x0000009b60,1,1,2018-02-13 11:43:19.210441
m3-216,m3-207,0x0000009b73,6,0,2018-02-13 11:43:19.475989
m3-237,m3-236,0x0000009c27,1,1,2018-02-13 11:43:22.188346
m3-252,m3-228,0x0000009c27,1,1,2018-02-13 11:43:22.207249
